# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
qu ne 	去呢	c=1 d=1.2732e-18 t=25487
qu nian 	去年	c=2 d=7.57199e-23 t=25487
qu pai 	曲牌	c=1 d=8.76395e-37 t=25487
qu shi 	去世	c=1 d=9.46939e-36 t=25487
qu shi 	趋势	c=3 d=3.33192e-15 t=25487
qu shi 	趣事	c=1 d=0.00295281 t=25487
qu wo 	去我	c=1 d=3.18268e-32 t=25487
qu xi 	去洗	c=1 d=2.91429e-25 t=25487
qu xi fu 	娶媳妇	c=1 d=1.2562e-07 t=25487
qu xian 	曲线	c=1 d=5.7257e-29 t=25487
qu xiao 	取消	c=6 d=0.000399619 t=25487
qu xiao hong shan 	去小洪山	c=1 d=1.06419e-26 t=25487
qu yu 	区域	c=5 d=3.64343e-05 t=25487
qu zuo 	去做	c=1 d=1.37447e-36 t=25487
quan 	全	c=2 d=2.71302e-36 t=25487
quan 	圈	c=1 d=0.000930303 t=25487
quan 	泉	c=0 d=7.15317e-31 t=25487
quan bu 	全部	c=3 d=1.68346e-10 t=25487
quan cheng 	全称	c=5 d=1.44995e-21 t=25487
quan cheng 	全程	c=1 d=2.98755e-23 t=25487
quan dou 	全都	c=2 d=1.11434e-09 t=25487
quan guo 	全国	c=1 d=1.32039e-05 t=25487
quan ji yin zu 	全基因组	c=4 d=5.12319e-15 t=25487
quan jiao 	全角	c=2 d=2.20455e-27 t=25487
quan ju 	全局	c=2 d=7.97757e-11 t=25487
quan mian 	全面	c=1 d=2.78701e-29 t=25487
quan ming 	全名	c=1 d=7.94641e-32 t=25487
quan pan 	全盘	c=1 d=1.71444e-48 t=25487
quan ping 	全屏	c=1 d=1.51278e-17 t=25487
quan qiu 	全球	c=2 d=9.29322e-21 t=25487
quan shi jie 	全世界	c=1 d=1.90852e-45 t=25487
quan tu 	圈图	c=1 d=7.6559e-35 t=25487
quan wen 	全文	c=1 d=1.18506e-27 t=25487
quan xian 	权限	c=3 d=4.37848e-20 t=25487
que 	却	c=2 d=9.22339e-46 t=25487
que de 	缺的	c=1 d=1.39334e-20 t=25487
que ding 	确定	c=10 d=5.06875e-07 t=25487
que fa 	缺乏	c=1 d=1.33225e-22 t=25487
que ren 	确认	c=10 d=6.03993e-20 t=25487
que ren neng 	确认能	c=1 d=1.21631e-39 t=25487
que shi 	确实	c=24 d=0.305607 t=25487
que shi 	缺失	c=3 d=0.532591 t=25487
que zhen 	确诊	c=1 d=2.67864e-33 t=25487
quick 	quick	c=1 d=7.85103e-37 t=25487
qun 	群	c=2 d=5.455e-18 t=25487
qun li 	群里	c=9 d=0.313367 t=25487
qun ti 	群体	c=1 d=3.43184e-07 t=25487
r i m e 	Rime	c=1 d=5.85851e-34 t=25487
ran 	然	c=0 d=7.8172e-46 t=25487
ran 	髯	c=1 d=1.14213e-34 t=25487
ran hou 	然后	c=16 d=1.40586e-06 t=25487
ran liao 	染料	c=2 d=1.22246e-19 t=25487
ran se ti 	染色体	c=6 d=1.41187e-34 t=25487
rang 	让	c=13 d=4.5836e-10 t=25487
rang lao shi 	让老师	c=1 d=3.7297e-45 t=25487
rang ni 	让你	c=6 d=0.025223 t=25487
rang ni xie 	让你写	c=1 d=1.37231e-47 t=25487
rang nin 	让您	c=1 d=4.61802e-29 t=25487
rang ren 	让人	c=3 d=5.81937e-14 t=25487
rang ta 	让他	c=3 d=8.39886e-07 t=25487
rang ta 	让她	c=2 d=1.1179e-09 t=25487
rang ta men 	让他们	c=1 d=1.86108e-43 t=25487
rang wo 	让我	c=7 d=5.58465e-16 t=25487
rang wo guo 	让我过	c=1 d=3.40638e-37 t=25487
rang zan 	让咱	c=1 d=4.61394e-48 t=25487
rao 	绕	c=1 d=7.03326e-37 t=25487
re 	热	c=2 d=4.71152e-23 t=25487
re ads 	reads	c=1 d=7.61769e-35 t=25487
re ai 	热爱	c=1 d=2.87188e-29 t=25487
re ai de 	热爱的	c=1 d=4.17487e-48 t=25487
re dian 	热点	c=0 d=2.51305e-48 t=25487
recomm 	recommend	c=1 d=0.000493001 t=25487
red 	red	c=1 d=5.41838e-27 t=25487
ren 	人	c=47 d=0.573877 t=25487
ren 	认	c=0 d=3.47637e-42 t=25487
ren chu 	人畜	c=3 d=1.63209e-45 t=25487
ren de 	人的	c=1 d=7.84971e-35 t=25487
ren duo 	人多	c=1 d=4.91043e-16 t=25487
ren gong 	人工	c=1 d=1.53376e-32 t=25487
ren gong zhi neng 	人工智能	c=1 d=2.98543e-44 t=25487
ren jia 	人家	c=5 d=8.28967e-10 t=25487
ren jian 	任剑	c=0 d=9.25821e-07 t=25487
ren jian hui 	任剑辉	c=3 d=7.92545e-05 t=25487
ren ju 	人巨	c=1 d=6.42701e-06 t=25487
ren jun 	人均	c=1 d=0.00726273 t=25487
ren ke 	认可	c=1 d=9.09805e-36 t=25487
ren kou 	人口	c=1 d=7.83345e-40 t=25487
ren le 	认了	c=1 d=1.22411e-26 t=25487
ren lei 	人类	c=6 d=2.56338e-43 t=25487
ren ma 	人马	c=1 d=3.94608e-32 t=25487
ren shi 	认识	c=2 d=0.00267181 t=25487
ren shu 	人数	c=1 d=3.23078e-32 t=25487
ren tai 	人太	c=0 d=2.32672e-24 t=25487
ren tai duo 	人太多	c=1 d=2.33838e-23 t=25487
ren wei 	人为	c=1 d=1.06622e-19 t=25487
ren wei 	认为	c=6 d=1.89055e-22 t=25487
ren wu 	任务	c=1 d=2.16418e-24 t=25487
ren wu lan 	任务栏	c=5 d=3.55874e-13 t=25487
ren xiong 	仁兄	c=1 d=9.68567e-37 t=25487
ren yuan 	人员	c=1 d=8.14341e-26 t=25487
ren zhen 	认真	c=3 d=0.000261258 t=25487
reng 	仍	c=2 d=2.96189e-39 t=25487
reng dao 	扔到	c=1 d=8.01265e-12 t=25487
reng le 	扔了	c=1 d=2.05688e-14 t=25487
reng ran 	仍然	c=1 d=4.1384e-33 t=25487
res finder 	resfinder	c=1 d=1.07302e-35 t=25487
result 	result	c=1 d=5.78624e-35 t=25487
ri 	日	c=19 d=7.04849e-05 t=25487
ri ben 	日本	c=3 d=6.38042e-38 t=25487
ri chang 	日常	c=1 d=1.99473e-06 t=25487
ri qi 	日期	c=2 d=1.13449e-43 t=25487
ri zi 	日子	c=2 d=0.055299 t=25487
root 	root	c=1 d=5.5316e-35 t=25487
rou 	肉	c=3 d=0.918512 t=25487
ru 	如	c=1 d=1.8624e-22 t=25487
ru guo 	如果	c=19 d=2.10212e-07 t=25487
ru he 	如何	c=28 d=1.03154 t=25487
ru xia 	如下	c=3 d=1.18978e-33 t=25487
ru xian 	乳腺	c=1 d=1.34564e-22 t=25487
ru you 	如有	c=2 d=2.00507e-08 t=25487
ruan jian 	软件	c=45 d=0.0312228 t=25487
ruo 	若	c=2 d=1.32431e-35 t=25487
ruo ji 	弱基	c=1 d=1.1654e-36 t=25487
ruo ru 	若如	c=1 d=4.31242e-47 t=25487
ruo shi 	若是	c=1 d=1.07043e-36 t=25487
sai guo 	赛过	c=1 d=0.0558548 t=25487
san 	三	c=1 d=1.17855e-21 t=25487
san 	伞	c=1 d=3.52111e-15 t=25487
san 	散	c=1 d=9.83041e-35 t=25487
san ci 	三次	c=1 d=0.275271 t=25487
san da bai gu jing 	三打白骨精	c=2 d=4.17965e-34 t=25487
san dai 	三代	c=2 d=2.66255e-21 t=25487
san dian tu 	散点图	c=5 d=2.33742e-28 t=25487
san du 	三度	c=1 d=1.10284e-34 t=25487
san ge 	三个	c=6 d=1.82881e-11 t=25487
san guan 	三关	c=1 d=2.03536e-36 t=25487
san he 	三和	c=0 d=8.60096e-23 t=25487
san he si 	三和四	c=1 d=8.64403e-22 t=25487
san ji 	三季	c=0 d=3.12943e-11 t=25487
san ji ren 	三季人	c=1 d=3.14512e-10 t=25487
san jian shi 	三件事	c=1 d=1.213e-07 t=25487
san jie 	三姐	c=0 d=9.16736e-38 t=25487
san jun 	三军	c=1 d=2.28889e-36 t=25487
san kuai 	三块	c=1 d=3.77707e-17 t=25487
san lei 	三类	c=3 d=5.62879e-34 t=25487
san nian ji 	三年级	c=1 d=5.89486e-48 t=25487
san pi 	三批	c=1 d=9.99968e-30 t=25487
san pian 	三篇	c=1 d=1.21966e-42 t=25487
san sheng 	三生	c=1 d=8.14758e-32 t=25487
san sheng 	三胜	c=0 d=6.71348e-20 t=25487
san sui 	三岁	c=1 d=9.25979e-08 t=25487
san tang hui shen 	三堂会审	c=1 d=0.000338834 t=25487
san tiao 	三条	c=1 d=6.42794e-37 t=25487
san yan 	三眼	c=1 d=6.52504e-37 t=25487
san zhong 	三种	c=1 d=1.58236e-46 t=25487
san zhu 	三株	c=1 d=3.85324e-46 t=25487
san zu 	三组	c=2 d=5.06888e-36 t=25487
sang yin 	嗓音	c=1 d=1.7737e-36 t=25487
sao 	扫	c=1 d=3.0584e-34 t=25487
sao bu chu lai 	扫不出来	c=1 d=1.56283e-47 t=25487
sao miao 	扫描	c=1 d=3.06049e-42 t=25487
sao sao 	嫂嫂	c=1 d=7.08557e-36 t=25487
sao zi 	嫂子	c=1 d=2.39839e-27 t=25487
save 	save	c=1 d=5.75736e-35 t=25487
score 	score	c=1 d=3.98709e-36 t=25487
se 	涩	c=0 d=0.00211736 t=25487
se se 	涩涩	c=2 d=0.343891 t=25487
se shi zi 	涩柿子	c=1 d=0.0212797 t=25487
se tu 	涩图	c=2 d=2.58353e-06 t=25487
server 	server	c=1 d=5.64335e-35 t=25487
sha 	傻	c=1 d=5.52109e-42 t=25487
sha 	啥	c=37 d=2.51312 t=25487
sha 	杀	c=1 d=5.7119e-31 t=25487
sha de 	啥的	c=6 d=9.82397e-25 t=25487
sha dou 	啥都	c=1 d=0.000466618 t=25487
sha du 	杀毒	c=6 d=2.94493e-47 t=25487
sha li 	沙里	c=0 d=3.74202e-26 t=25487
sha li cheng jin 	沙里澄金	c=1 d=3.76078e-25 t=25487
sha qi 	杀气	c=1 d=0.0614212 t=25487
sha ri zi 	啥日子	c=1 d=3.32453e-45 t=25487
sha shi hou 	啥时候	c=1 d=2.01506e-37 t=25487
sha si 	杀死	c=1 d=1.17327e-27 t=25487
sha si men 	杀四门	c=1 d=5.74054e-30 t=25487
sha yang 	啥样	c=2 d=0.0753961 t=25487
sha yi si 	啥意思	c=1 d=1.67934e-40 t=25487
sha yong 	啥用	c=1 d=6.02236e-35 t=25487
shai le 	晒了	c=1 d=6.0287e-18 t=25487
shai xuan 	筛选	c=1 d=1.87041e-43 t=25487
shan 	删	c=2 d=2.12172e-08 t=25487
shan 	山	c=0 d=1.63765e-10 t=25487
shan chu 	删除	c=13 d=0.0154615 t=25487
shan diao 	删掉	c=4 d=4.91126e-18 t=25487
shan e 	善恶	c=1 d=1.07562e-34 t=25487
shan jian 	删减	c=1 d=9.393e-29 t=25487
shan le 	删了	c=2 d=7.81188e-37 t=25487
shan ma 	删吗	c=1 d=2.8596e-08 t=25487
shan mian 	扇面	c=3 d=2.13205e-36 t=25487
shan zhong 	山中	c=0 d=8.09566e-46 t=25487
shang 	上	c=35 d=0.0543531 t=25487
shang 	尚	c=1 d=4.0599e-43 t=25487
shang ban 	上班	c=5 d=9.27777e-05 t=25487
shang bu shang 	上不上	c=1 d=1.54198e-36 t=25487
shang cheng 	上城	c=1 d=2.05046e-36 t=25487
shang ci 	上次	c=10 d=3.39427e-05 t=25487
shang de 	上的	c=2 d=1.75605e-36 t=25487
shang diao 	上吊	c=1 d=2.013e-25 t=25487
shang ge yue 	上个月	c=1 d=6.63041e-49 t=25487
shang hai 	上海	c=1 d=5.31669e-10 t=25487
shang jin 	上进	c=1 d=3.27059e-29 t=25487
shang le 	上了	c=2 d=2.94308e-23 t=25487
shang liang 	商量	c=4 d=2.25527e-10 t=25487
shang liang guo 	商量过	c=2 d=4.70965e-09 t=25487
shang liang hao 	商量好	c=1 d=2.59012e-20 t=25487
shang mian 	上面	c=2 d=8.72202e-10 t=25487
shang na 	上哪	c=1 d=2.73796e-26 t=25487
shang qing 	上清	c=2 d=1.13367e-19 t=25487
shang qu 	上去	c=3 d=5.93228e-35 t=25487
shang shi 	上食	c=1 d=6.6363e-30 t=25487
shang shu 	上述	c=3 d=1.71747e-10 t=25487
shang tiao 	上调	c=3 d=5.78002e-34 t=25487
shang wang 	上网	c=4 d=0.000122182 t=25487
shang wu 	上午	c=14 d=2.79526e-05 t=25487
shang yi ci 	上一次	c=1 d=1.3552e-17 t=25487
shang yi ji 	上一级	c=1 d=2.56426e-49 t=25487
shang zhou 	上周	c=1 d=6.99223e-27 t=25487
shao 	少	c=1 d=2.6031e-21 t=25487
shao 	绍	c=1 d=1.03862e-34 t=25487
shao bu de 	少不得	c=1 d=1.10303e-36 t=25487
shao deng 	稍等	c=4 d=5.56235e-12 t=25487
shao jiang 	少讲	c=1 d=8.95194e-22 t=25487
shao ju 	绍剧	c=1 d=3.16734e-34 t=25487
shao le 	少了	c=2 d=6.86215e-12 t=25487
shao ne 	少呢	c=0 d=3.26502e-10 t=25487
shao nian 	少年	c=7 d=8.19124e-05 t=25487
shao wei 	稍微	c=1 d=2.82384e-07 t=25487
shao xian 	稍显	c=1 d=5.2846e-27 t=25487
shao yi xie 	少一些	c=1 d=1.75699e-13 t=25487
she 	社	c=1 d=9.51877e-09 t=25487
she 	设	c=2 d=3.97621e-31 t=25487
she bei 	设备	c=2 d=1.10686e-18 t=25487
she de 	设的	c=3 d=2.86182e-31 t=25487
she ding 	设定	c=1 d=4.02717e-36 t=25487
she hui 	社会	c=1 d=2.75552e-13 t=25487
she ji 	涉及	c=1 d=1.99535e-39 t=25487
she ji 	设计	c=7 d=0.0332068 t=25487
she kong 	社恐	c=2 d=3.47764e-23 t=25487
she mi 	涉密	c=1 d=8.44932e-48 t=25487
she qu 	社区	c=1 d=2.82134e-26 t=25487
she ru 	摄入	c=1 d=1.11507e-46 t=25487
she shi 	设施	c=2 d=1.56006e-19 t=25487
she shi du 	摄氏度	c=1 d=0.00082924 t=25487
she wei 	设为	c=1 d=7.10274e-35 t=25487
she xian 	涉嫌	c=1 d=0.683861 t=25487
she zhi 	设置	c=49 d=1.65178 t=25487
shei 	谁	c=1 d=4.59094e-48 t=25487
shell 	shell	c=2 d=0.00198597 t=25487
shen 	审	c=2 d=4.00765e-35 t=25487
shen 	神	c=1 d=9.01373e-44 t=25487
shen 	身	c=0 d=8.48304e-37 t=25487
shen bian 	身边	c=2 d=7.05524e-07 t=25487
shen du 	深度	c=17 d=6.25215e-05 t=25487
shen gao 	审稿	c=2 d=7.62505e-35 t=25487
shen gao ren 	审稿人	c=4 d=7.35319e-35 t=25487
shen he 	审核	c=15 d=1.3245e-13 t=25487
shen jing 	神经	c=1 d=3.98777e-38 t=25487
shen lan 	深蓝	c=1 d=5.53349e-39 t=25487
shen le 	审了	c=1 d=6.0829e-35 t=25487
shen me 	什么	c=100 d=1.20053 t=25487
shen me yang zi 	什么样子	c=1 d=3.83414e-17 t=25487
shen me yi si 	什么意思	c=1 d=7.37751e-11 t=25487
shen qing 	申请	c=8 d=0.00184551 t=25487
shen qing biao 	申请表	c=1 d=1.23983e-29 t=25487
shen ru 	深入	c=1 d=1.88568e-21 t=25487
shen shang 	身上	c=3 d=1.74372e-12 t=25487
shen shen 	审审	c=1 d=5.21302e-43 t=25487
shen shi 	甚是	c=1 d=1.36083e-07 t=25487
shen tan 	神探	c=2 d=2.47721e-25 t=25487
shen tan di ren jie 	神探狄仁杰	c=1 d=3.24477e-24 t=25487
shen xiao 	沈小	c=0 d=7.41323e-10 t=25487
shen xiao mei 	沈小梅	c=1 d=7.45038e-09 t=25487
shen zhen 	深圳	c=9 d=2.04592e-10 t=25487
shen zhi 	甚至	c=2 d=5.22935e-21 t=25487
sheng 	升	c=1 d=2.95371e-36 t=25487
sheng 	生	c=3 d=1.08439e-12 t=25487
sheng 	省	c=1 d=3.5668e-49 t=25487
sheng bu ji 	省部级	c=1 d=7.71815e-42 t=25487
sheng chan 	生产	c=1 d=5.68729e-38 t=25487
sheng dan jing chou 	生旦净丑	c=1 d=4.45071e-36 t=25487
sheng de 	剩的	c=1 d=3.65025e-27 t=25487
sheng gao 	升高	c=1 d=1.6535e-34 t=25487
sheng huo 	生活	c=6 d=4.18197e-08 t=25487
sheng huo shang 	生活上	c=1 d=2.84331e-29 t=25487
sheng ji 	升级	c=1 d=4.88163e-35 t=25487
sheng jiang 	盛江	c=0 d=1.63765e-10 t=25487
sheng jiang shan 	盛江山	c=1 d=1.64586e-09 t=25487
sheng ka 	声卡	c=1 d=7.41323e-09 t=25487
sheng ming 	生命	c=1 d=1.99229e-21 t=25487
sheng qun 	生群	c=0 d=1.15659e-36 t=25487
sheng si 	生死	c=2 d=2.10214e-27 t=25487
sheng wu 	生物	c=11 d=4.62313e-24 t=25487
sheng wu an quan gui 	生物安全柜	c=2 d=3.14779e-20 t=25487
sheng wu dao 	生物岛	c=1 d=1.54176e-05 t=25487
sheng wu xin xi 	生物信息	c=2 d=2.66994e-24 t=25487
sheng wu xin xi xue 	生物信息学	c=5 d=1.34034e-05 t=25487
sheng wu xue 	生物学	c=2 d=5.51732e-34 t=25487
sheng xia 	剩下	c=4 d=2.01615e-14 t=25487
sheng xing 	盛行	c=1 d=5.49092e-07 t=25487
sheng yin 	声音	c=1 d=2.16043e-33 t=25487
shi 	事	c=17 d=8.0563e-07 t=25487
shi 	使	c=1 d=2.74552e-29 t=25487
shi 	史	c=3 d=1.96063e-09 t=25487
shi 	师	c=1 d=1.61436e-18 t=25487
shi 	时	c=4 d=3.10525e-07 t=25487
shi 	是	c=313 d=0.904628 t=25487
shi 	试	c=1 d=2.76068e-35 t=25487
shi ba 	十八	c=0 d=5.81619e-38 t=25487
shi ba 	是吧	c=21 d=1.98959e-05 t=25487
shi ba che 	十八扯	c=9 d=6.41049e-34 t=25487
shi bai 	失败	c=3 d=0.000185956 t=25487
shi bai le 	失败了	c=1 d=2.48551e-35 t=25487
shi bie 	识别	c=3 d=4.14558e-24 t=25487
shi bie ma 	识别码	c=1 d=0.00018046 t=25487
shi bu shi 	是不是	c=32 d=0.413418 t=25487
shi chang 	时常	c=2 d=2.42722e-12 t=25487
shi chu lai 	试出来	c=2 d=2.92105e-44 t=25487
shi dai 	时代	c=1 d=5.29017e-10 t=25487
shi dao ai 	食道癌	c=1 d=8.82922e-36 t=25487
shi de 	是的	c=74 d=0.0455336 t=25487
shi di 	师弟	c=4 d=0.130028 t=25487
shi fen 	十分	c=1 d=3.23463e-46 t=25487
shi fou 	是否	c=13 d=5.99455e-10 t=25487
shi fu 	师傅	c=1 d=9.44657e-37 t=25487
shi ge 	是个	c=3 d=0.212248 t=25487
shi ge sha 	是个啥	c=1 d=7.31902e-35 t=25487
shi guo 	试过	c=1 d=1.38974e-19 t=25487
shi he 	适合	c=1 d=4.67159e-47 t=25487
shi hou 	时候	c=43 d=0.772639 t=25487
shi hua 	实话	c=3 d=0.0116872 t=25487
shi ji 	实际	c=1 d=6.01211e-15 t=25487
shi ji 	试剂	c=2 d=7.93695e-18 t=25487
shi ji he 	试剂盒	c=3 d=1.65013e-10 t=25487
shi jian 	事件	c=1 d=9.8679e-21 t=25487
shi jian 	时间	c=25 d=0.00931315 t=25487
shi jian dian 	时间点	c=1 d=7.87812e-48 t=25487
shi jie 	世界	c=1 d=2.07713e-41 t=25487
shi jie 	师姐	c=87 d=0.295028 t=25487
shi ke biao 	时刻表	c=1 d=8.90276e-16 t=25487
shi le 	试了	c=1 d=4.99245e-05 t=25487
shi le yi xia 	试了一下	c=1 d=3.65336e-37 t=25487
shi liang tu 	矢量图	c=1 d=5.4984e-23 t=25487
shi ma 	是吗	c=8 d=0.354065 t=25487
shi mei 	师妹	c=6 d=0.00844599 t=25487
shi ni 	是你	c=1 d=3.00919e-49 t=25487
shi ni de 	是你的	c=1 d=2.09944e-49 t=25487
shi pin 	视频	c=16 d=0.000359787 t=25487
shi pin yuan 	视频源	c=1 d=7.79859e-17 t=25487
shi po 	识破	c=1 d=0.00224287 t=25487
shi qing 	事情	c=7 d=1.74064e-13 t=25487
shi ran 	使然	c=1 d=1.30698e-32 t=25487
shi sheng 	师生	c=2 d=1.28879e-32 t=25487
shi shi 	实时	c=1 d=2.83008e-33 t=25487
shi shi 	试试	c=16 d=8.54692e-06 t=25487
shi shui 	是谁	c=2 d=1.15106e-08 t=25487
shi tang 	食堂	c=2 d=2.19318e-05 t=25487
shi tou bing 	石头饼	c=1 d=2.3155e-25 t=25487
shi tu 	师徒	c=1 d=1.2067e-34 t=25487
shi wo 	是我	c=7 d=1.44474e-05 t=25487
shi wu 	食物	c=2 d=1.52975e-46 t=25487
shi wu guan 	十五贯	c=3 d=2.50034e-36 t=25487
shi xian 	实现	c=1 d=2.73842e-28 t=25487
shi xiao 	失效	c=2 d=4.03381e-11 t=25487
shi xie hou 	食蟹猴	c=2 d=4.4608e-46 t=25487
shi xiong 	师兄	c=32 d=9.37757e-06 t=25487
shi yan 	十堰	c=1 d=1.99956e-05 t=25487
shi yan 	失言	c=1 d=1.45197e-05 t=25487
shi yan 	实验	c=36 d=0.00143358 t=25487
shi yan dong wu 	实验动物	c=1 d=1.24218e-22 t=25487
shi yan fang an 	实验方案	c=1 d=1.3045e-39 t=25487
shi yan shi 	实验室	c=7 d=0.0487292 t=25487
shi yan xing 	实验性	c=1 d=1.19881e-45 t=25487
shi yan zhong 	实验中	c=1 d=0.0144076 t=25487
shi yan zu 	试验组	c=1 d=2.33473e-34 t=25487
shi yao 	是要	c=1 d=4.30069e-15 t=25487
shi yi ge 	是一个	c=2 d=2.74692e-35 t=25487
shi yong 	使用	c=24 d=0.047092 t=25487
shi yong 	食用	c=1 d=1.82927e-46 t=25487
shi you 	室友	c=2 d=0.856415 t=25487
shi you 	是有	c=2 d=7.12133e-07 t=25487
shi zai 	实在	c=4 d=6.44346e-36 t=25487
shi zai 	是在	c=2 d=3.6813e-09 t=25487
shi zhe ge 	是这个	c=1 d=2.10458e-19 t=25487
shi zhe yang 	是这样	c=1 d=5.14623e-09 t=25487
shi zhi 	是指	c=3 d=0.00190172 t=25487
shi zi 	拭子	c=0 d=4.7866e-40 t=25487
shi zi 	柿子	c=0 d=0.00211736 t=25487
shou 	受	c=3 d=4.13136e-13 t=25487
shou 	手	c=4 d=2.4989e-10 t=25487
shou 	收	c=1 d=4.75042e-38 t=25487
shou 	首	c=1 d=7.3128e-25 t=25487
shou chao 	手抄	c=1 d=4.00653e-05 t=25487
shou ci 	首次	c=1 d=7.15922e-40 t=25487
shou dao 	受到	c=1 d=1.899e-45 t=25487
shou dao 	收到	c=21 d=0.694426 t=25487
shou dao le 	收到了	c=1 d=2.32189e-28 t=25487
shou dong 	手动	c=3 d=5.14448e-05 t=25487
shou duan 	手段	c=2 d=2.63786e-29 t=25487
shou gao 	收稿	c=1 d=1.73496e-41 t=25487
shou hang 	瘦行	c=1 d=7.27635e-25 t=25487
shou ji 	手机	c=39 d=0.000161814 t=25487
shou ji 	收集	c=4 d=2.55728e-17 t=25487
shou ji dian 	手机店	c=1 d=2.76209e-41 t=25487
shou ji hao 	手机号	c=1 d=4.48765e-45 t=25487
shou le 	收了	c=1 d=5.87986e-18 t=25487
shou lei 	受累	c=3 d=6.25428e-09 t=25487
shou lian 	收敛	c=1 d=2.82961e-31 t=25487
shou lu 	收录	c=3 d=2.63283e-36 t=25487
shou shi 	收拾	c=1 d=3.00559e-35 t=25487
shou shou 	收收	c=1 d=4.25862e-17 t=25487
shou shou 	瘦瘦	c=1 d=5.10892e-41 t=25487
shou shu 	手术	c=1 d=8.46255e-37 t=25487
shou wei 	收尾	c=1 d=1.00655e-18 t=25487
shou xian 	首先	c=1 d=2.78796e-33 t=25487
shou xie 	手写	c=1 d=8.66646e-23 t=25487
shou yang 	收样	c=1 d=4.50876e-12 t=25487
shou ye 	首页	c=1 d=8.3193e-42 t=25487
shou yi 	收一	c=0 d=0.00265162 t=25487
shou yi xia 	收一下	c=2 d=0.0538365 t=25487
shou zhe 	收着	c=4 d=3.57991e-30 t=25487
shou zi mu 	首字母	c=1 d=5.27545e-36 t=25487
shu 	书	c=2 d=0.00634556 t=25487
shu 	属	c=4 d=3.08786e-36 t=25487
shu 	数	c=8 d=0.0339784 t=25487
shu 	树	c=9 d=6.76229e-16 t=25487
shu biao 	鼠标	c=2 d=1.22941e-18 t=25487
shu chu 	输出	c=4 d=6.38484e-15 t=25487
shu fu 	束缚	c=1 d=1.37451e-07 t=25487
shu fu 	舒服	c=0 d=0.000660452 t=25487
shu ju 	数据	c=40 d=3.28027e-05 t=25487
shu ju ku 	数据库	c=8 d=2.07934e-33 t=25487
shu ju liang 	数据量	c=4 d=7.67234e-30 t=25487
shu le 	数了	c=1 d=1.49305e-39 t=25487
shu liang 	数量	c=3 d=1.73055e-11 t=25487
shu ma 	数码	c=1 d=3.5742e-44 t=25487
shu mei pai 	树莓派	c=1 d=7.06611e-33 t=25487
shu ming 	署名	c=1 d=2.41953e-42 t=25487
shu ru 	输入	c=6 d=0.000164928 t=25487
shu ru fa 	输入法	c=14 d=1 t=25487
shu xi 	熟悉	c=3 d=7.43115e-08 t=25487
shu yu 	属于	c=5 d=6.11365e-35 t=25487
shu yu 	术语	c=1 d=1.0043e-21 t=25487
shu yuan 	书源	c=1 d=1.27801e-33 t=25487
shu zhuang 	梳妆	c=1 d=6.62369e-37 t=25487
shu zi 	数字	c=7 d=1.31386e-10 t=25487
shua 	刷	c=4 d=1.59283e-06 t=25487
shua dao 	刷到	c=1 d=2.1717e-06 t=25487
shua ji 	刷机	c=7 d=1.5767e-40 t=25487
shua jie 	刷街	c=1 d=6.11022e-29 t=25487
shua le 	刷了	c=1 d=1.44493e-36 t=25487
shuai 	帅	c=0 d=7.2699e-45 t=25487
shuai de 	摔得	c=1 d=8.37829e-37 t=25487
shuang 	双	c=1 d=7.9451e-30 t=25487
shuang duan 	双端	c=1 d=9.30937e-12 t=25487
shuang feng 	双峰	c=1 d=1.52793e-46 t=25487
shuang xi tong 	双系统	c=3 d=5.60762e-19 t=25487
shui 	水	c=2 d=0.257947 t=25487
shui 	睡	c=3 d=0.000859388 t=25487
shui 	谁	c=9 d=0.120578 t=25487
shui a 	谁啊	c=1 d=5.74344e-36 t=25487
shui bu ai ne 	谁不爱呢	c=1 d=5.64353e-06 t=25487
shui di 	水底	c=0 d=3.08327e-42 t=25487
shui di lao 	水底捞	c=1 d=3.09872e-41 t=25487
shui guo 	水果	c=2 d=0.0575558 t=25487
shui guo 	睡过	c=1 d=5.19707e-07 t=25487
shui guo lao 	水果捞	c=2 d=1.04595e-24 t=25487
shui jiao 	睡觉	c=2 d=1.55885e-17 t=25487
shui jing 	水晶	c=1 d=7.92456e-29 t=25487
shui kan 	水刊	c=1 d=4.35131e-35 t=25487
shui le 	睡了	c=1 d=4.96839e-07 t=25487
shui ping 	水平	c=4 d=5.91739e-34 t=25487
shui qian 	税前	c=1 d=6.30083e-08 t=25487
shui yan qi jun 	水淹七军	c=1 d=6.08597e-41 t=25487
shui yuan 	水源	c=2 d=1.58031e-46 t=25487
shui zhao 	睡着	c=1 d=3.11329e-08 t=25487
shui zhi dao 	谁知道	c=1 d=1.50544e-48 t=25487
shun li 	顺利	c=1 d=3.17781e-14 t=25487
shun xu 	顺序	c=3 d=3.8832e-41 t=25487
shun yan 	顺延	c=1 d=1.89739e-35 t=25487
shuo 	说	c=87 d=0.261756 t=25487
shuo ba 	说吧	c=2 d=4.82057e-34 t=25487
shuo bu ding 	说不定	c=3 d=0.0502874 t=25487
shuo bu jin 	说不尽	c=2 d=1.57307e-28 t=25487
